iter	Passed	Remaining
243	344	1067
244	345	1065
245	347	1064
246	348	1062
247	350	1061
248	351	1060
249	352	1058
250	354	1056
251	355	1055
252	357	1054
253	358	1053
254	359	1051
255	361	1049
256	362	1048
257	363	1046
258	365	1045
259	366	1043
260	367	1041
261	369	1040
262	370	1038
263	372	1037
264	373	1035
265	374	1034
266	376	1032
267	377	1030
268	378	1029
269	380	1027
270	381	1025
271	382	1024
272	384	1022
273	385	1021
274	386	1019
275	388	1018
276	389	1017
277	391	1015
278	392	1014
279	394	1013
280	395	1011
281	397	1010
282	398	1009
283	399	1008
284	401	1006
285	402	1005
286	404	1003
287	405	1002
288	406	1000
289	408	999
290	409	997
291	410	996
292	412	994
293	413	993
294	415	991
295	416	990
296	417	988
297	419	987
298	420	985
299	421	984
300	423	983
301	424	981
302	426	980
303	427	978
304	428	977
305	430	975
306	431	973
307	432	972
308	434	971
309	435	969
310	437	968
311	438	967
312	440	966
313	441	965
314	443	963
315	444	962
316	445	960
317	447	959
318	448	957
319	450	956
320	451	955
321	452	953
322	454	952
323	455	950
324	456	949
325	458	947
326	459	946
327	460	944
328	462	942
329	463	941
330	465	940
331	466	938
332	468	937
333	469	936
334	470	934
335	472	933
336	473	931
337	474	930
338	476	928
339	477	927
340	478	925
341	480	924
342	481	922
343	483	921
344	490	931
345	492	930
346	493	928
347	494	926
348	495	924
349	497	923
350	498	921
351	499	919
352	500	917
353	502	916
354	503	914
355	504	913
356	506	911
357	507	909
358	508	907
359	509	906
360	510	904
361	512	902
362	513	900
363	514	899
364	515	897
365	517	895
366	518	894
367	519	892
368	521	891
369	522	889
370	523	887
371	524	886
372	526	884
373	527	882
374	528	881
375	530	879
376	531	878
377	532	876
378	534	875
379	535	873
380	536	872
381	537	870
382	539	868
383	540	866
384	541	865
385	542	863
386	544	861
387	545	860
388	546	858
389	548	857
390	549	856
391	551	854
392	552	853
393	553	852
394	555	850
395	556	848
396	557	847
397	559	845
398	560	843
399	561	842
400	562	840
401	564	839
402	565	837
403	567	836
404	568	834
405	569	833
406	570	831
407	572	830
408	573	828
409	574	826
410	575	825
411	577	823
412	578	822
413	579	820
414	581	819
415	582	818
416	584	816
417	585	814
418	586	813
419	587	811
420	589	810
421	590	808
422	591	806
423	592	805
424	594	803
425	595	802
426	596	800
427	597	799
428	599	797
429	600	795
430	601	794
431	602	792
432	604	791
433	605	789
434	606	787
435	607	786
436	609	784
437	610	783
438	611	781
439	612	780
440	614	778
441	615	776
442	616	775
443	617	773
444	619	772
445	620	770
446	621	769
447	622	767
448	624	765
449	625	764
450	626	762
451	627	761
452	629	759
453	630	758
454	631	756
455	632	755
456	634	753
457	635	751
458	636	750
459	637	748
460	639	747
461	640	745
462	641	744
463	643	742
464	644	741
465	645	739
466	646	738
467	648	736
468	649	735
469	650	733
470	651	732
471	653	730
472	654	728
473	655	727
474	656	725
475	657	724
476	659	722
477	660	721
478	661	719
479	662	718
480	664	716
481	665	715
482	666	713
483	667	711
484	669	710
485	670	708
486	671	707
487	672	705
488	674	704
489	675	702
490	676	701
491	677	699
492	678	698
493	680	696
494	681	695
495	682	693
496	683	692
497	685	690
498	686	689
499	687	687
500	688	686
501	690	684
502	691	683
503	692	681
504	693	680
505	695	678
506	696	677
507	697	675
508	698	674
509	700	672
510	701	671
511	702	669
512	704	668
513	705	666
514	706	665
515	707	663
516	709	662
517	710	660
518	711	659
519	712	658
520	714	656
521	715	655
522	716	653
523	717	652
524	719	650
525	720	649
526	721	647
527	722	646
528	724	644
529	725	643
530	726	641
531	727	640
532	729	638
533	730	637
534	731	636
535	732	634
536	734	633
537	735	631
538	736	630
539	737	628
540	739	627
541	740	625
542	741	624
543	742	622
544	744	621
545	745	619
546	746	618
547	747	616
548	749	615
549	750	613
550	751	612
551	752	610
552	754	609
553	755	608
554	756	606
555	757	605
556	759	603
557	760	602
558	761	600
559	762	599
560	764	597
561	765	596
562	766	595
563	767	593
564	769	592
565	770	590
566	771	589
567	772	587
568	773	586
569	775	584
570	776	583
571	777	581
572	779	580
573	780	579
574	781	577
575	782	576
576	783	574
577	785	573
578	786	571
579	787	570
580	789	569
581	790	567
582	791	566
583	792	564
584	794	563
585	795	561
586	796	560
587	797	559
588	799	557
589	800	556
590	801	554
591	802	553
592	804	551
593	805	550
594	806	549
595	807	547
596	809	546
597	810	544
598	811	543
599	812	541
600	814	540
601	815	539
602	816	537
603	818	536
604	819	534
605	820	533
606	821	532
607	823	530
608	824	529
609	825	527
610	826	526
611	828	525
612	829	523
613	830	522
614	831	520
615	833	519
616	834	518
617	835	516
618	837	515
619	838	513
620	839	512
621	840	510
622	842	509
623	843	508
624	844	506
625	845	505
626	847	503
627	848	502
628	849	501
629	850	499
630	852	498
631	853	496
632	854	495
633	855	494
634	857	492
635	858	491
636	859	489
637	860	488
638	861	486
639	863	485
640	864	484
641	865	482
642	866	481
643	868	480
644	869	478
645	871	477
646	872	476
647	873	474
648	874	473
649	876	471
650	877	470
651	878	468
652	879	467
653	881	466
654	882	464
655	883	463
656	884	462
657	886	460
658	887	459
659	888	457
660	890	456
661	891	455
662	892	453
663	893	452
664	895	450
665	896	449
666	897	448
667	898	446
668	900	445
669	901	443
670	902	442
671	903	441
672	905	439
673	906	438
674	907	437
675	909	435
676	910	434
677	911	432
678	912	431
679	914	430
680	915	428
681	916	427
682	918	426
683	919	424
684	920	423
685	922	422
686	923	420
687	924	419
688	926	417
689	927	416
690	928	415
691	929	413
692	931	412
693	932	411
694	933	409
695	935	408
696	936	407
697	937	405
698	939	404
699	940	403
700	941	401
701	942	400
702	944	398
703	945	397
704	946	396
705	947	394
706	949	393
707	950	392
708	951	390
709	953	389
710	954	388
711	955	386
712	957	385
713	958	383
714	959	382
715	960	381
716	962	379
717	963	378
718	964	377
719	966	375
720	967	374
721	968	373
722	970	371
723	971	370
724	972	368
725	973	367
726	975	366
727	976	364
728	977	363
729	978	362
730	980	360
731	981	359
732	982	358
733	984	356
734	985	355
735	987	354
736	988	352
737	989	351
738	990	349
739	992	348
740	993	347
741	994	345
742	996	344
743	997	343
744	998	341
745	1000	340
746	1001	339
747	1002	337
748	1004	336
749	1005	335
750	1006	333
751	1007	332
752	1009	331
753	1010	329
754	1011	328
755	1012	326
756	1014	325
757	1015	324
758	1017	322
759	1018	321
760	1019	320
761	1021	318
762	1022	317
763	1023	316
764	1024	314
765	1026	313
766	1027	312
767	1028	310
768	1029	309
769	1031	308
770	1032	306
771	1034	305
772	1035	304
773	1036	302
774	1038	301
775	1039	299
776	1040	298
777	1041	297
778	1043	295
779	1044	294
780	1045	293
781	1047	291
782	1048	290
783	1049	289
784	1051	287
785	1052	286
786	1053	285
787	1055	283
788	1056	282
789	1057	281
790	1058	279
791	1060	278
792	1061	277
793	1062	275
794	1064	274
795	1065	273
796	1067	271
797	1068	270
798	1069	269
799	1071	267
800	1072	266
801	1073	265
802	1075	263
803	1076	262
804	1077	261
805	1079	259
806	1080	258
807	1081	257
808	1083	255
809	1084	254
810	1085	253
811	1087	251
812	1088	250
813	1089	248
814	1090	247
815	1091	246
816	1093	244
817	1094	243
818	1095	242
819	1097	240
820	1098	239
821	1099	238
822	1100	236
823	1102	235
824	1103	234
825	1104	232
826	1105	231
827	1107	229
828	1108	228
829	1109	227
830	1110	225
831	1112	224
832	1113	223
833	1114	221
834	1115	220
835	1117	219
836	1118	217
837	1119	216
838	1120	215
839	1122	213
840	1123	212
841	1124	211
842	1126	209
843	1127	208
844	1128	207
845	1129	205
846	1131	204
847	1132	202
848	1133	201
849	1135	200
850	1136	198
851	1137	197
852	1138	196
853	1140	194
854	1141	193
855	1142	192
856	1143	190
857	1145	189
858	1146	188
859	1147	186
860	1148	185
861	1150	184
862	1151	182
863	1152	181
864	1153	180
865	1154	178
866	1156	177
867	1157	176
868	1158	174
869	1159	173
870	1161	171
871	1162	170
872	1163	169
873	1164	167
874	1166	166
875	1167	165
876	1168	163
877	1169	162
878	1171	161
879	1172	159
880	1173	158
881	1174	157
882	1176	155
883	1177	154
884	1178	153
885	1179	151
886	1181	150
887	1182	149
888	1183	147
889	1184	146
890	1186	145
891	1187	143
892	1188	142
893	1189	141
894	1191	139
895	1192	138
896	1193	137
897	1194	135
898	1196	134
899	1197	133
900	1198	131
901	1200	130
902	1201	129
903	1202	127
904	1203	126
905	1204	125
906	1206	123
907	1207	122
908	1208	121
909	1209	119
910	1211	118
911	1212	116
912	1213	115
913	1214	114
914	1216	112
915	1217	111
916	1218	110
917	1219	108
918	1221	107
919	1222	106
920	1223	104
921	1224	103
922	1226	102
923	1227	100
924	1228	99
925	1229	98
926	1230	96
927	1232	95
928	1233	94
929	1234	92
930	1235	91
931	1237	90
932	1238	88
933	1239	87
934	1240	86
935	1242	84
936	1243	83
937	1244	82
938	1245	80
939	1247	79
940	1248	78
941	1249	76
942	1250	75
943	1252	74
944	1253	72
945	1254	71
946	1255	70
947	1257	68
948	1258	67
949	1259	66
950	1260	64
951	1262	63
952	1263	62
953	1264	60
954	1265	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1272	53
960	1273	51
961	1274	50
962	1275	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1282	42
968	1283	41
969	1284	39
970	1285	38
971	1287	37
972	1288	35
973	1290	34
974	1291	33
975	1292	31
976	1294	30
977	1295	29
978	1296	27
979	1298	26
980	1299	25
981	1300	23
982	1301	22
983	1303	21
984	1304	19
985	1305	18
986	1307	17
987	1308	15
988	1309	14
989	1311	13
990	1312	11
991	1313	10
992	1314	9
993	1316	7
994	1317	6
995	1318	5
996	1320	3
997	1321	2
998	1322	1
999	1324	0
