iter	RMSE
195	0.2057269059
196	0.2051554075
197	0.2049305646
198	0.2045083
199	0.2037344935
200	0.2031496883
201	0.20285768
202	0.2022969509
203	0.2019228709
204	0.2013108014
205	0.2008160512
206	0.2005781732
207	0.2002527046
208	0.1998508298
209	0.1993804549
210	0.1991619904
211	0.1988669419
212	0.1986257503
213	0.1980975461
214	0.197657893
215	0.197398516
216	0.197146719
217	0.1970097303
218	0.1965662255
219	0.1963384076
220	0.1960018509
221	0.1955491075
222	0.1953988136
223	0.1949747578
224	0.1948327723
225	0.1944095907
226	0.1942131153
227	0.193777541
228	0.193587218
229	0.1933322173
230	0.1931270238
231	0.1929577005
232	0.1926281789
233	0.1925520509
234	0.1923748279
235	0.1919346696
236	0.1916232946
237	0.1912142255
238	0.1909409516
239	0.1904585207
240	0.1902093294
241	0.1899633168
242	0.189684375
243	0.1895608849
244	0.1892726702
245	0.1890843693
246	0.1889656701
247	0.1885455554
248	0.1881610532
249	0.1881086878
250	0.1877688178
251	0.1873758762
252	0.1873295635
253	0.1869262085
254	0.1868805783
255	0.1865343249
256	0.1863231812
257	0.1860268005
258	0.185748856
259	0.1855241195
260	0.1854314583
261	0.1851904726
262	0.1849812644
263	0.1845801369
264	0.1845376442
265	0.1841821425
266	0.1841403769
267	0.184080922
268	0.1836301746
269	0.1833809634
270	0.1830741053
271	0.1828665235
272	0.1825561976
273	0.1821990321
274	0.1820077423
275	0.1816860112
276	0.1814360521
277	0.1811452148
278	0.180862602
279	0.1804736225
280	0.1802833542
281	0.1800204639
282	0.1797872101
283	0.1795254301
284	0.1793189497
285	0.179193667
286	0.178828591
287	0.1787866738
288	0.1786292106
289	0.178150723
290	0.1781179968
291	0.177912149
292	0.1778157635
293	0.1777161937
294	0.1775425573
295	0.1772922325
296	0.177086136
297	0.1770559289
298	0.1768396025
299	0.1767829357
300	0.1764253298
301	0.176249138
302	0.1760091126
303	0.1759082853
304	0.1755114814
305	0.1753479047
306	0.1750645605
307	0.1745619016
308	0.17409193
309	0.1739031725
310	0.1737333322
311	0.1736161285
312	0.1735530368
313	0.173526419
314	0.1734245624
315	0.1733918267
316	0.173323874
317	0.1729489952
318	0.1729223225
319	0.1727471678
320	0.1725152478
321	0.1723691409
322	0.1719710778
323	0.1718489365
324	0.1716908296
325	0.1716240331
326	0.1714101875
327	0.1713507235
328	0.1713306602
329	0.1713111056
330	0.1709571321
331	0.1707431665
332	0.1705332416
333	0.1704409928
334	0.1702023633
335	0.1701783767
336	0.170160642
337	0.1701260549
338	0.1700919042
339	0.1700692361
340	0.1700440865
341	0.1697373086
342	0.1696563225
343	0.1696355683
344	0.1696179538
345	0.1695938712
346	0.1695680394
347	0.1693447048
348	0.1693144687
349	0.1692962391
350	0.1692453477
351	0.1692141142
352	0.1691761278
353	0.1691345213
354	0.168819364
355	0.1687093145
356	0.1684844445
357	0.1684512646
358	0.1682958266
359	0.1682528432
360	0.1679909103
361	0.1678854786
362	0.1676669677
363	0.1674650897
364	0.1674280044
365	0.1672380956
366	0.1670026341
367	0.1666977208
368	0.1664494764
369	0.1663683359
370	0.1662277757
371	0.1661237099
372	0.1659867065
373	0.1659219517
374	0.165870731
375	0.1657578315
376	0.1653983148
377	0.1651227638
378	0.1647924722
379	0.1643567898
380	0.1638934786
381	0.1637459814
382	0.1637062116
383	0.1635445962
384	0.163428976
385	0.1632888159
386	0.163101944
387	0.1629862994
388	0.1628024975
389	0.1626597515
390	0.1626045132
391	0.1625101273
392	0.1621482848
393	0.1618930894
394	0.1615768011
395	0.161435412
396	0.1613497751
397	0.161188312
398	0.1611020479
399	0.1609709217
400	0.1608109141
401	0.1605610231
402	0.1601437256
403	0.1600984879
404	0.1598590478
405	0.1596299353
406	0.1593959695
407	0.1592417081
408	0.1592227162
409	0.1591454736
410	0.1588124297
411	0.1587186188
412	0.1585390232
413	0.1582189837
414	0.1579990467
415	0.1575988557
416	0.1573931316
417	0.1570712573
418	0.1569737996
419	0.1567514345
420	0.1564408044
421	0.1563067602
422	0.1559836686
423	0.1558595359
424	0.1557491371
425	0.1556485869
426	0.1555087123
427	0.1553824056
428	0.1553165674
429	0.1549701941
430	0.1546918685
431	0.1545376328
432	0.154505635
433	0.1544707114
434	0.1544226479
435	0.1543779552
436	0.1543131172
437	0.1540988949
438	0.1539447027
439	0.1538217386
440	0.1535463266
441	0.1533485351
442	0.1532948946
443	0.1531834581
444	0.1530982338
445	0.1527596962
446	0.1525445301
447	0.1524401568
448	0.1521183627
449	0.1520515449
450	0.1520084099
451	0.1518509008
452	0.1516478472
453	0.151447536
454	0.1513325655
455	0.1511063025
456	0.1510283199
457	0.1508153514
458	0.1506647196
459	0.1503826022
460	0.1502880909
461	0.1501888382
462	0.1500277713
463	0.1498830356
464	0.1497188191
465	0.1494882376
466	0.1493814382
467	0.1492498906
468	0.1491564388
469	0.1490747622
470	0.1487788097
471	0.1487371494
472	0.1486743582
473	0.1485629278
474	0.1483196523
475	0.1482872819
476	0.1481176491
477	0.1480271289
478	0.147747066
479	0.1476819977
480	0.147556673
481	0.1473025977
482	0.1471545115
483	0.1470993125
484	0.1470181863
485	0.146970102
486	0.1466646249
487	0.1463999521
488	0.1461942397
489	0.1459147831
490	0.1456607387
491	0.1454997818
492	0.1451921842
493	0.145172676
494	0.1450776101
495	0.1449355493
496	0.1448341907
497	0.1445709637
498	0.1443606402
499	0.1442467637
500	0.1439405528
501	0.1438617011
502	0.1436324161
503	0.1435856761
504	0.1433776238
505	0.1433294823
506	0.1430676807
507	0.1429854826
508	0.1426198323
509	0.1424209347
510	0.1421860674
511	0.1420420401
512	0.1419122856
513	0.141769208
514	0.1417384478
515	0.1417027603
516	0.1415066132
517	0.1412977033
518	0.1411297861
519	0.140986283
520	0.1409029687
521	0.1406529005
522	0.1405881638
523	0.1403839995
524	0.1401355626
525	0.1400188021
526	0.1399244276
527	0.1396577296
528	0.1395199956
529	0.1393413932
530	0.1391904391
531	0.1391062308
532	0.1388516904
533	0.1387543135
534	0.1386673304
535	0.1385811754
536	0.1384292376
537	0.1382688757
538	0.1381834401
539	0.1380211424
540	0.1379264938
541	0.1377381634
542	0.1375191149
543	0.1374271104
544	0.1373180139
545	0.1372833664
546	0.1372127356
547	0.1370950841
548	0.1370305197
549	0.1370021242
550	0.1369090521
551	0.1368192475
552	0.1367397095
553	0.1366688895
554	0.1365348149
555	0.1364463487
556	0.1362214442
557	0.1361394511
558	0.1361108676
559	0.135973801
560	0.1359601927
561	0.1357978146
562	0.1357333625
563	0.1356393667
564	0.135564614
565	0.1355202206
566	0.1353615825
567	0.1351936176
568	0.1351416329
569	0.135065983
570	0.134853871
571	0.1347727159
572	0.1347267804
573	0.1345730551
574	0.134513312
575	0.1344150333
576	0.1340631591
577	0.1339264268
578	0.1337453119
579	0.1336201668
580	0.1335645072
581	0.1334914308
582	0.1333224874
583	0.1332508289
584	0.1331644525
585	0.1329647394
586	0.1326668668
587	0.1325670909
588	0.1323685729
589	0.132238038
590	0.1321183669
591	0.1320681571
592	0.1318608653
593	0.1318516347
594	0.1317271584
595	0.1316121173
596	0.1315877932
597	0.1314469537
598	0.1312993057
599	0.131225223
600	0.1310220683
601	0.1309305358
602	0.1308199469
603	0.1306314244
604	0.1305963498
605	0.1305532896
606	0.1303888668
607	0.1302973336
608	0.1302347019
609	0.1301633309
610	0.1300649033
611	0.129990969
612	0.1299778821
613	0.1299186613
614	0.129696898
615	0.1296059843
616	0.1294925158
617	0.1294390514
618	0.1293756299
619	0.1292570892
620	0.1291705498
621	0.1291108939
622	0.1290049885
623	0.1288755531
624	0.1287509344
625	0.1286805015
626	0.1285872183
627	0.128455402
628	0.1284447761
629	0.1283514436
630	0.128190248
631	0.1280817921
632	0.1280622498
633	0.1280142398
634	0.1279334375
635	0.1276576055
636	0.1275063434
637	0.1274081854
638	0.1273352959
639	0.1272481853
640	0.1272213661
641	0.1269545587
642	0.1268290835
643	0.1268148907
644	0.1268042156
645	0.1267471631
646	0.1265829393
647	0.1264499301
648	0.1263674107
649	0.126301813
650	0.1261726033
651	0.1261133143
652	0.1260431181
653	0.1259639113
654	0.1258374736
655	0.1257113562
656	0.1256823445
657	0.1256301495
658	0.1254382525
659	0.1254004605
660	0.1253181195
661	0.1252471133
662	0.1249292892
663	0.1247591742
664	0.1247172433
665	0.1244181879
666	0.1242133241
667	0.124094959
668	0.123976965
669	0.1238408595
670	0.1237779748
671	0.1236941257
672	0.1236765049
673	0.1233906474
674	0.1232905435
675	0.1232137713
676	0.1232020548
677	0.1231084363
678	0.1230275226
679	0.1229814165
680	0.1227225405
681	0.1226073629
682	0.1225232843
683	0.1224372518
684	0.1222781261
685	0.1221040106
686	0.1220432381
687	0.1218630314
688	0.1217910949
689	0.1217796585
690	0.1216979013
691	0.1215795211
692	0.1215321443
693	0.1214573245
694	0.1213791698
695	0.1213154491
696	0.121275276
697	0.1212006019
698	0.1210919858
699	0.1210231215
700	0.1209543231
701	0.120749669
702	0.1206743773
703	0.1206455511
704	0.1205710231
705	0.1205191064
706	0.1203381252
707	0.1202005025
708	0.1201161691
709	0.1200434912
710	0.119998075
711	0.1198580529
712	0.1198297259
713	0.1197090884
714	0.1196218416
715	0.1195192527
716	0.1194623671
717	0.1194217171
718	0.1192787112
719	0.1192086449
720	0.1189616281
721	0.1187867831
722	0.1186449914
723	0.1185499193
724	0.1184377784
725	0.1183647379
726	0.1182086443
727	0.1178726324
728	0.1177117012
729	0.1176314838
730	0.1175922862
731	0.1175106099
732	0.1174385152
733	0.1173706764
734	0.1171956282
735	0.1171237081
736	0.1170963362
737	0.1170321057
738	0.116969373
739	0.1169327233
740	0.1168613341
741	0.1167979022
742	0.1166651014
743	0.1165395678
744	0.116480925
745	0.1164682557
746	0.1164448031
747	0.1163574647
748	0.1163409502
749	0.1162340513
750	0.1161162965
751	0.1160320274
752	0.1159833234
753	0.1159137339
754	0.1158489688
755	0.1157503115
756	0.1155341652
757	0.1154126562
758	0.1153641659
759	0.1153054008
760	0.1152397237
761	0.1150815128
762	0.1150155887
763	0.1149012442
764	0.1148547907
765	0.1148183465
766	0.1147633051
767	0.1147178321
768	0.1146542888
769	0.1146005635
770	0.114506618
771	0.1144447323
772	0.1143436761
773	0.1142721534
774	0.1141010961
775	0.1140393616
776	0.1138190195
777	0.113762261
778	0.1136694168
779	0.1136370938
780	0.1135472333
781	0.113488323
782	0.11345604
783	0.1133000536
784	0.1132427169
785	0.113180323
786	0.1128931715
787	0.1127556922
788	0.1126769549
789	0.112528845
790	0.1124767093
791	0.1122906292
792	0.1120384584
793	0.1119875039
794	0.1119560138
795	0.1117939456
796	0.1117398202
797	0.1115782829
798	0.111435024
799	0.1113092726
800	0.1112422983
801	0.1111795133
802	0.1110175275
803	0.1109632674
804	0.1108740493
805	0.1107797567
806	0.1105898594
807	0.1105393823
808	0.1104468101
809	0.1103757327
810	0.1103177975
811	0.1101786739
812	0.1101078088
813	0.1100443669
814	0.1099913322
815	0.1098955081
816	0.109799838
